rank,Name,Year,State,male_count,female_count,unisex_score
1,Terry,1960,AK,19,14,73.68
2,Tracy,1960,AK,7,10,70.0
3,Leslie,1960,AK,5,21,23.81
4,Kelly,1960,AK,7,32,21.88
5,Aaron,1960,AK,7,,0.0
6,Alan,1960,AK,13,,0.0
7,Albert,1960,AK,14,,0.0
8,Alfred,1960,AK,8,,0.0
9,Alice,1960,AK,,22,0.0
10,Allen,1960,AK,6,,0.0
11,Alvin,1960,AK,5,,0.0
12,Amy,1960,AK,,8,0.0
13,Andrea,1960,AK,,6,0.0
14,Andrew,1960,AK,23,,0.0
15,Angela,1960,AK,,11,0.0
16,Anita,1960,AK,,12,0.0
17,Ann,1960,AK,,12,0.0
18,Anna,1960,AK,,13,0.0
19,Annette,1960,AK,,9,0.0
20,Anthony,1960,AK,24,,0.0
21,April,1960,AK,,5,0.0
22,Arnold,1960,AK,6,,0.0
23,Arthur,1960,AK,12,,0.0
24,Barbara,1960,AK,,32,0.0
25,Barry,1960,AK,7,,0.0
26,Becky,1960,AK,,7,0.0
27,Ben,1960,AK,6,,0.0
28,Benjamin,1960,AK,5,,0.0
29,Bernadette,1960,AK,,8,0.0
30,Bernard,1960,AK,7,,0.0
1,Shelby,1960,AL,9,9,100.0
2,Pat,1960,AL,11,12,91.67
3,Unknown,1960,AL,17,15,88.24
4,Jackie,1960,AL,61,72,84.72
5,Marion,1960,AL,24,19,79.17
6,Francis,1960,AL,7,9,77.78
7,Johnnie,1960,AL,51,38,74.51
8,Leslie,1960,AL,45,61,73.77
9,Jody,1960,AL,11,8,72.73
10,Shawn,1960,AL,5,7,71.43
11,Ollie,1960,AL,6,9,66.67
12,Shannon,1960,AL,7,11,63.64
13,Stacey,1960,AL,6,10,60.0
14,Frankie,1960,AL,41,22,53.66
15,Billie,1960,AL,8,16,50.0
16,Tracy,1960,AL,38,84,45.24
17,Jessie,1960,AL,57,24,42.11
18,Lynn,1960,AL,23,56,41.07
19,Stacy,1960,AL,5,13,38.46
20,Jamie,1960,AL,14,40,35.0
21,Lee,1960,AL,103,31,30.1
22,Robbie,1960,AL,9,30,30.0
23,Kelly,1960,AL,24,82,29.27
24,Sandy,1960,AL,8,31,25.81
25,Robin,1960,AL,33,148,22.3
26,Jimmie,1960,AL,73,16,21.92
27,Dana,1960,AL,13,60,21.67
28,Tommie,1960,AL,37,7,18.92
29,Bobbie,1960,AL,7,42,16.67
30,Willie,1960,AL,514,81,15.76
1,Robbie,1960,AR,11,11,100.0
2,Jackie,1960,AR,50,52,96.15
3,Tracy,1960,AR,44,46,95.65
4,Marion,1960,AR,7,8,87.5
5,Unknown,1960,AR,7,6,85.71
6,Johnnie,1960,AR,19,15,78.95
7,Leslie,1960,AR,29,39,74.36
8,Francis,1960,AR,5,7,71.43
9,Jody,1960,AR,7,5,71.43
10,Tommie,1960,AR,15,10,66.67
11,Ollie,1960,AR,5,9,55.56
12,Pat,1960,AR,11,6,54.55
13,Lynn,1960,AR,10,19,52.63
14,Jessie,1960,AR,37,18,48.65
15,Frankie,1960,AR,29,13,44.83
16,Lee,1960,AR,59,25,42.37
17,Kelly,1960,AR,22,53,41.51
18,Billie,1960,AR,7,17,41.18
19,Kerry,1960,AR,23,8,34.78
20,Terry,1960,AR,311,56,18.01
21,Willie,1960,AR,139,24,17.27
22,Kim,1960,AR,13,79,16.46
23,Jimmie,1960,AR,32,5,15.63
24,Robin,1960,AR,15,108,13.89
25,Bobbie,1960,AR,6,51,11.76
26,Freddie,1960,AR,51,6,11.76
27,Joe,1960,AR,145,10,6.9
28,Bobby,1960,AR,212,7,3.3
29,Jerry,1960,AR,269,7,2.6
30,James,1960,AR,865,10,1.16
1,Jessie,1960,AZ,10,11,90.91
2,Jody,1960,AZ,17,14,82.35
3,Pat,1960,AZ,12,9,75.0
4,Rene,1960,AZ,16,11,68.75
5,Dana,1960,AZ,15,23,65.22
6,Shawn,1960,AZ,17,11,64.71
7,Kerry,1960,AZ,17,10,58.82
8,Terry,1960,AZ,94,52,55.32
9,Tracy,1960,AZ,24,46,52.17
10,Leslie,1960,AZ,22,43,51.16
11,Jackie,1960,AZ,10,20,50.0
12,Lee,1960,AZ,29,10,34.48
13,Kelly,1960,AZ,29,88,32.95
14,Guadalupe,1960,AZ,9,32,28.13
15,Lynn,1960,AZ,12,43,27.91
16,Chris,1960,AZ,60,13,21.67
17,Kim,1960,AZ,13,85,15.29
18,Robin,1960,AZ,12,89,13.48
19,Joe,1960,AZ,132,5,3.79
20,Aaron,1960,AZ,18,,0.0
21,Abel,1960,AZ,11,,0.0
22,Abelardo,1960,AZ,5,,0.0
23,Adam,1960,AZ,6,,0.0
24,Adelina,1960,AZ,,6,0.0
25,Adrian,1960,AZ,6,,0.0
26,Alan,1960,AZ,44,,0.0
27,Albert,1960,AZ,67,,0.0
28,Alberta,1960,AZ,,8,0.0
29,Alberto,1960,AZ,16,,0.0
30,Alejandro,1960,AZ,9,,0.0
1,Robbie,1960,CA,43,43,100.0
2,Page,1960,CA,5,5,100.0
3,Rene,1960,CA,129,127,98.45
4,Jessie,1960,CA,59,57,96.61
5,Kris,1960,CA,62,65,95.38
6,Cris,1960,CA,12,11,91.67
7,Devon,1960,CA,7,8,87.5
8,Kerry,1960,CA,164,143,87.2
9,Shelby,1960,CA,11,9,81.82
10,Paris,1960,CA,8,6,75.0
11,Sammie,1960,CA,8,6,75.0
12,Unknown,1960,CA,11,8,72.73
13,Jamey,1960,CA,7,5,71.43
14,Kit,1960,CA,7,5,71.43
15,Cruz,1960,CA,17,12,70.59
16,Carroll,1960,CA,10,7,70.0
17,Carey,1960,CA,26,18,69.23
18,Terry,1960,CA,689,462,67.05
19,Donnell,1960,CA,9,6,66.67
20,Lou,1960,CA,9,14,64.29
21,Lindsay,1960,CA,19,12,63.16
22,Courtney,1960,CA,13,8,61.54
23,Marion,1960,CA,28,52,53.85
24,Pat,1960,CA,117,61,52.14
25,Dana,1960,CA,217,453,47.9
26,Lorin,1960,CA,11,5,45.45
27,Kendall,1960,CA,36,16,44.44
28,Nicky,1960,CA,12,5,41.67
29,Lee,1960,CA,278,114,41.01
30,Noel,1960,CA,44,18,40.91
1,Kerry,1960,CO,22,20,90.91
2,Kris,1960,CO,9,11,81.82
3,Tracy,1960,CO,49,80,61.25
4,Lee,1960,CO,32,17,53.13
5,Stacey,1960,CO,7,14,50.0
6,Leslie,1960,CO,30,66,45.45
7,Kelly,1960,CO,58,135,42.96
8,Pat,1960,CO,28,12,42.86
9,Dee,1960,CO,5,12,41.67
10,Dana,1960,CO,19,46,41.3
11,Terry,1960,CO,141,57,40.43
12,Shannon,1960,CO,8,20,40.0
13,Lynn,1960,CO,22,58,37.93
14,Chris,1960,CO,114,36,31.58
15,Jamie,1960,CO,6,23,26.09
16,Kyle,1960,CO,20,5,25.0
17,Shawn,1960,CO,41,10,24.39
18,Jody,1960,CO,8,38,21.05
19,Robin,1960,CO,24,136,17.65
20,Jan,1960,CO,5,37,13.51
21,Jackie,1960,CO,7,53,13.21
22,Kim,1960,CO,13,124,10.48
23,Aaron,1960,CO,23,,0.0
24,Abel,1960,CO,6,,0.0
25,Adam,1960,CO,15,,0.0
26,Adele,1960,CO,,7,0.0
27,Adrienne,1960,CO,,6,0.0
28,Aileen,1960,CO,,6,0.0
29,Al,1960,CO,5,,0.0
30,Alan,1960,CO,106,,0.0
1,Lee,1960,CT,25,26,96.15
2,Kerry,1960,CT,16,14,87.5
3,Dana,1960,CT,28,34,82.35
4,Pat,1960,CT,6,9,66.67
5,Rene,1960,CT,12,7,58.33
6,Kyle,1960,CT,14,7,50.0
7,Terry,1960,CT,23,51,45.1
8,Dale,1960,CT,38,16,42.11
9,Jan,1960,CT,9,23,39.13
10,Carmen,1960,CT,9,28,32.14
11,Leslie,1960,CT,18,71,25.35
12,Chris,1960,CT,87,20,22.99
13,Jody,1960,CT,7,31,22.58
14,Tracy,1960,CT,17,89,19.1
15,Jamie,1960,CT,5,35,14.29
16,Kelly,1960,CT,10,76,13.16
17,Jean,1960,CT,7,110,6.36
18,Kim,1960,CT,8,193,4.15
19,Robin,1960,CT,9,299,3.01
20,Charles,1960,CT,299,5,1.67
21,Jeffrey,1960,CT,456,6,1.32
22,Lisa,1960,CT,5,628,0.8
23,Mark,1960,CT,932,6,0.64
24,Michael,1960,CT,1374,5,0.36
25,Aaron,1960,CT,12,,0.0
26,Ada,1960,CT,,5,0.0
27,Adam,1960,CT,19,,0.0
28,Adrian,1960,CT,8,,0.0
29,Adrienne,1960,CT,,6,0.0
30,Agnes,1960,CT,,11,0.0
1,Jamie,1960,DC,5,5,100.0
2,Pat,1960,DC,5,5,100.0
3,Terry,1960,DC,52,46,88.46
4,Shawn,1960,DC,11,7,63.64
5,Tracy,1960,DC,14,30,46.67
6,Dale,1960,DC,26,9,34.62
7,Leslie,1960,DC,13,48,27.08
8,Chris,1960,DC,37,10,27.03
9,Dana,1960,DC,7,30,23.33
10,Kelly,1960,DC,7,40,17.5
11,Kim,1960,DC,12,97,12.37
12,Robin,1960,DC,6,145,4.14
13,James,1960,DC,609,6,0.99
14,Michael,1960,DC,755,5,0.66
15,Aaron,1960,DC,20,,0.0
16,Adam,1960,DC,11,,0.0
17,Adrian,1960,DC,9,,0.0
18,Adrienne,1960,DC,,16,0.0
19,Agnes,1960,DC,,5,0.0
20,Alan,1960,DC,60,,0.0
21,Albert,1960,DC,48,,0.0
22,Alberta,1960,DC,,9,0.0
23,Alex,1960,DC,9,,0.0
24,Alexander,1960,DC,14,,0.0
25,Alexandra,1960,DC,,7,0.0
26,Alfonso,1960,DC,5,,0.0
27,Alfred,1960,DC,23,,0.0
28,Alfreda,1960,DC,,6,0.0
29,Alice,1960,DC,,37,0.0
30,Alicia,1960,DC,,10,0.0
1,Terry,1960,DE,12,19,63.16
2,Chris,1960,DE,20,6,30.0
3,Aaron,1960,DE,9,,0.0
4,Alan,1960,DE,20,,0.0
5,Albert,1960,DE,14,,0.0
6,Alexander,1960,DE,6,,0.0
7,Alfred,1960,DE,13,,0.0
8,Alice,1960,DE,,14,0.0
9,Alicia,1960,DE,,5,0.0
10,Alison,1960,DE,,6,0.0
11,Allen,1960,DE,8,,0.0
12,Alvin,1960,DE,7,,0.0
13,Amy,1960,DE,,16,0.0
14,Andre,1960,DE,7,,0.0
15,Andrea,1960,DE,,19,0.0
16,Andrew,1960,DE,27,,0.0
17,Andy,1960,DE,6,,0.0
18,Angela,1960,DE,,21,0.0
19,Anita,1960,DE,,13,0.0
20,Ann,1960,DE,,36,0.0
21,Anna,1960,DE,,15,0.0
22,Anne,1960,DE,,20,0.0
23,Annette,1960,DE,,21,0.0
24,Anthony,1960,DE,62,,0.0
25,April,1960,DE,,8,0.0
26,Arlene,1960,DE,,7,0.0
27,Arthur,1960,DE,19,,0.0
28,Audrey,1960,DE,,6,0.0
29,Barbara,1960,DE,,69,0.0
30,Barry,1960,DE,18,,0.0
1,Jody,1960,FL,39,34,87.18
2,Pat,1960,FL,20,17,85.0
3,Marion,1960,FL,28,35,80.0
4,Frankie,1960,FL,27,19,70.37
5,Robbie,1960,FL,12,18,66.67
6,Shawn,1960,FL,37,23,62.16
7,Dana,1960,FL,41,69,59.42
8,Jessie,1960,FL,37,21,56.76
9,Carey,1960,FL,11,6,54.55
10,Toby,1960,FL,13,7,53.85
11,Angel,1960,FL,12,6,50.0
12,Lee,1960,FL,115,56,48.7
13,Rene,1960,FL,14,29,48.28
14,Tracy,1960,FL,64,148,43.24
15,Jackie,1960,FL,39,99,39.39
16,Terry,1960,FL,410,159,38.78
17,Jamie,1960,FL,21,57,36.84
18,Kerry,1960,FL,55,19,34.55
19,Billie,1960,FL,5,15,33.33
20,Shannon,1960,FL,9,28,32.14
21,Johnnie,1960,FL,75,24,32.0
22,Leslie,1960,FL,42,141,29.79
23,Kelly,1960,FL,52,195,26.67
24,Bobbie,1960,FL,8,32,25.0
25,Leigh,1960,FL,5,22,22.73
26,Jan,1960,FL,15,67,22.39
27,Stacy,1960,FL,6,29,20.69
28,Adrian,1960,FL,30,6,20.0
29,Chris,1960,FL,160,27,16.88
30,Lynn,1960,FL,20,121,16.53
1,Robbie,1960,GA,34,36,94.44
2,Pat,1960,GA,8,10,80.0
3,Unknown,1960,GA,29,23,79.31
4,Jody,1960,GA,23,18,78.26
5,Jackie,1960,GA,68,91,74.73
6,Tracy,1960,GA,68,98,69.39
7,Jamie,1960,GA,18,30,60.0
8,Frankie,1960,GA,49,29,59.18
9,Stacy,1960,GA,14,24,58.33
10,Johnnie,1960,GA,72,41,56.94
11,Nikita,1960,GA,5,9,55.56
12,Shawn,1960,GA,11,6,54.55
13,Ollie,1960,GA,6,12,50.0
14,Shelby,1960,GA,7,15,46.67
15,Leslie,1960,GA,42,98,42.86
16,Marion,1960,GA,56,24,42.86
17,Lee,1960,GA,102,42,41.18
18,Dana,1960,GA,18,45,40.0
19,Kelly,1960,GA,36,94,38.3
20,Carroll,1960,GA,15,5,33.33
21,Jessie,1960,GA,59,18,30.51
22,Stacey,1960,GA,5,17,29.41
23,Dale,1960,GA,93,27,29.03
24,Cary,1960,GA,18,5,27.78
25,Tommie,1960,GA,35,8,22.86
26,Lynn,1960,GA,21,100,21.0
27,Kim,1960,GA,31,163,19.02
28,Terry,1960,GA,534,98,18.35
29,Bobbie,1960,GA,7,53,13.21
30,Chris,1960,GA,121,15,12.4
1,Leslie,1960,HI,25,24,96.0
2,Terry,1960,HI,29,23,79.31
3,Dana,1960,HI,9,12,75.0
4,Tracy,1960,HI,26,39,66.67
5,Lee,1960,HI,17,9,52.94
6,Stacy,1960,HI,5,11,45.45
7,Dale,1960,HI,21,9,42.86
8,Shawn,1960,HI,15,6,40.0
9,Robin,1960,HI,18,46,39.13
10,Kelly,1960,HI,11,30,36.67
11,Aaron,1960,HI,21,,0.0
12,Abel,1960,HI,5,,0.0
13,Abigail,1960,HI,,6,0.0
14,Abraham,1960,HI,12,,0.0
15,Agnes,1960,HI,,5,0.0
16,Aileen,1960,HI,,9,0.0
17,Aimee,1960,HI,,5,0.0
18,Alan,1960,HI,64,,0.0
19,Albert,1960,HI,25,,0.0
20,Alberta,1960,HI,,5,0.0
21,Alden,1960,HI,7,,0.0
22,Alexander,1960,HI,15,,0.0
23,Alfred,1960,HI,25,,0.0
24,Alice,1960,HI,,8,0.0
25,Alicia,1960,HI,,8,0.0
26,Alison,1960,HI,,21,0.0
27,Allan,1960,HI,12,,0.0
28,Allen,1960,HI,20,,0.0
29,Alton,1960,HI,6,,0.0
30,Alvin,1960,HI,23,,0.0
1,Dana,1960,IA,38,39,97.44
2,Robbie,1960,IA,6,5,83.33
3,Leslie,1960,IA,20,30,66.67
4,Tracy,1960,IA,68,110,61.82
5,Stacey,1960,IA,9,16,56.25
6,Kris,1960,IA,18,33,54.55
7,Pat,1960,IA,24,13,54.17
8,Kerry,1960,IA,41,20,48.78
9,Kelly,1960,IA,112,241,46.47
10,Lynn,1960,IA,40,96,41.67
11,Cary,1960,IA,13,5,38.46
12,Shawn,1960,IA,52,18,34.62
13,Chris,1960,IA,125,41,32.8
14,Jamie,1960,IA,10,32,31.25
15,Jody,1960,IA,21,74,28.38
16,Lee,1960,IA,61,16,26.23
17,Stacy,1960,IA,5,24,20.83
18,Kim,1960,IA,35,253,13.83
19,Robin,1960,IA,22,163,13.5
20,Terry,1960,IA,345,46,13.33
21,Jan,1960,IA,7,63,11.11
22,Gail,1960,IA,6,59,10.17
23,Dale,1960,IA,184,6,3.26
24,Richard,1960,IA,543,6,1.1
25,Aaron,1960,IA,16,,0.0
26,Agnes,1960,IA,,5,0.0
27,Alan,1960,IA,214,,0.0
28,Albert,1960,IA,17,,0.0
29,Alex,1960,IA,5,,0.0
30,Alice,1960,IA,,29,0.0
1,Jody,1960,ID,15,16,93.75
2,Tracy,1960,ID,40,48,83.33
3,Kris,1960,ID,6,5,83.33
4,Kelly,1960,ID,74,56,75.68
5,Lee,1960,ID,12,9,75.0
6,Dana,1960,ID,8,14,57.14
7,Leslie,1960,ID,11,22,50.0
8,Shawn,1960,ID,11,5,45.45
9,Lynn,1960,ID,21,8,38.1
10,Kim,1960,ID,20,65,30.77
11,Terry,1960,ID,71,18,25.35
12,Robin,1960,ID,8,39,20.51
13,Chris,1960,ID,36,7,19.44
14,Aaron,1960,ID,6,,0.0
15,Alan,1960,ID,44,,0.0
16,Albert,1960,ID,9,,0.0
17,Alice,1960,ID,,8,0.0
18,Alicia,1960,ID,,7,0.0
19,Allan,1960,ID,7,,0.0
20,Allen,1960,ID,13,,0.0
21,Allison,1960,ID,,5,0.0
22,Alvin,1960,ID,5,,0.0
23,Amy,1960,ID,,16,0.0
24,Andrea,1960,ID,,8,0.0
25,Andrew,1960,ID,17,,0.0
26,Angela,1960,ID,,36,0.0
27,Anita,1960,ID,,24,0.0
28,Ann,1960,ID,,35,0.0
29,Anna,1960,ID,,19,0.0
30,Anne,1960,ID,,19,0.0
1,Andra,1960,IL,8,8,100.0
2,Courtney,1960,IL,6,6,100.0
3,Val,1960,IL,5,5,100.0
4,Pat,1960,IL,56,54,96.43
5,Ollie,1960,IL,10,11,90.91
6,Merle,1960,IL,10,9,90.0
7,Carroll,1960,IL,9,8,88.89
8,Dorian,1960,IL,11,9,81.82
9,Cory,1960,IL,9,7,77.78
10,Robbie,1960,IL,19,14,73.68
11,Shelby,1960,IL,7,10,70.0
12,Frankie,1960,IL,15,9,60.0
13,Noel,1960,IL,15,8,53.33
14,Lee,1960,IL,158,84,53.16
15,Jessie,1960,IL,40,21,52.5
16,Paris,1960,IL,5,10,50.0
17,Angel,1960,IL,45,22,48.89
18,Dana,1960,IL,64,139,46.04
19,Tracy,1960,IL,118,292,40.41
20,Leigh,1960,IL,6,15,40.0
21,Kerry,1960,IL,116,46,39.66
22,Kris,1960,IL,16,41,39.02
23,Adrian,1960,IL,18,7,38.89
24,Chris,1960,IL,321,118,36.76
25,Johnnie,1960,IL,45,16,35.56
26,Jamie,1960,IL,46,134,34.33
27,Rene,1960,IL,18,53,33.96
28,Shannon,1960,IL,9,27,33.33
29,Terry,1960,IL,639,212,33.18
30,Gale,1960,IL,14,43,32.56
1,Kris,1960,IN,28,21,75.0
2,Tracy,1960,IN,100,147,68.03
3,Pat,1960,IN,21,14,66.67
4,Lee,1960,IN,70,46,65.71
5,Marion,1960,IN,11,7,63.64
6,Shawn,1960,IN,43,25,58.14
7,Bobbie,1960,IN,10,18,55.56
8,Leslie,1960,IN,50,105,47.62
9,Jessie,1960,IN,19,9,47.37
10,Cris,1960,IN,11,5,45.45
11,Jody,1960,IN,25,58,43.1
12,Robbie,1960,IN,14,6,42.86
13,Frankie,1960,IN,12,5,41.67
14,Gale,1960,IN,7,17,41.18
15,Dana,1960,IN,36,88,40.91
16,Mickey,1960,IN,15,5,33.33
17,Robbin,1960,IN,5,15,33.33
18,Kyle,1960,IN,38,12,31.58
19,Jackie,1960,IN,34,109,31.19
20,Billie,1960,IN,7,23,30.43
21,Rene,1960,IN,6,21,28.57
22,Jan,1960,IN,14,52,26.92
23,Stacy,1960,IN,10,38,26.32
24,Kelly,1960,IN,84,321,26.17
25,Chris,1960,IN,253,61,24.11
26,Terry,1960,IN,523,122,23.33
27,Shannon,1960,IN,7,30,23.33
28,Jamie,1960,IN,18,78,23.08
29,Dee,1960,IN,5,24,20.83
30,Kerry,1960,IN,90,18,20.0
1,Young,1960,KS,5,7,71.43
2,Kris,1960,KS,18,11,61.11
3,Tracy,1960,KS,52,87,59.77
4,Lee,1960,KS,36,21,58.33
5,Kelly,1960,KS,93,166,56.02
6,Leslie,1960,KS,31,59,52.54
7,Pat,1960,KS,15,7,46.67
8,Jackie,1960,KS,18,41,43.9
9,Lynn,1960,KS,14,33,42.42
10,Kerry,1960,KS,46,19,41.3
11,Shawn,1960,KS,35,12,34.29
12,Shannon,1960,KS,7,22,31.82
13,Stacy,1960,KS,9,31,29.03
14,Jamie,1960,KS,10,35,28.57
15,Kyle,1960,KS,25,7,28.0
16,Stacey,1960,KS,5,18,27.78
17,Dana,1960,KS,19,74,25.68
18,Dee,1960,KS,6,24,25.0
19,Terry,1960,KS,228,56,24.56
20,Chris,1960,KS,116,28,24.14
21,Jody,1960,KS,7,31,22.58
22,Robin,1960,KS,24,119,20.17
23,Kim,1960,KS,19,164,11.59
24,Gail,1960,KS,5,45,11.11
25,Sandy,1960,KS,5,63,7.94
26,Michael,1960,KS,883,5,0.57
27,Aaron,1960,KS,22,,0.0
28,Adam,1960,KS,7,,0.0
29,Adrian,1960,KS,5,,0.0
30,Alan,1960,KS,147,,0.0
1,Shelby,1960,KY,6,6,100.0
2,Ollie,1960,KY,7,6,85.71
3,Pat,1960,KY,14,17,82.35
4,Lee,1960,KY,46,35,76.09
5,Jackie,1960,KY,99,75,75.76
6,Leslie,1960,KY,46,70,65.71
7,Kelly,1960,KY,50,85,58.82
8,Robbie,1960,KY,12,7,58.33
9,Jody,1960,KY,14,8,57.14
10,Tracy,1960,KY,41,75,54.67
11,Frankie,1960,KY,21,10,47.62
12,Shannon,1960,KY,8,18,44.44
13,Billie,1960,KY,13,30,43.33
14,Dana,1960,KY,25,59,42.37
15,Marion,1960,KY,19,7,36.84
16,Shawn,1960,KY,19,7,36.84
17,Jessie,1960,KY,21,7,33.33
18,Lynn,1960,KY,15,50,30.0
19,Jamie,1960,KY,10,35,28.57
20,Francis,1960,KY,25,7,28.0
21,Bobbie,1960,KY,8,41,19.51
22,Terry,1960,KY,449,86,19.15
23,Stacy,1960,KY,5,27,18.52
24,Robin,1960,KY,31,239,12.97
25,Kim,1960,KY,13,137,9.49
26,Joe,1960,KY,157,5,3.18
27,Jerry,1960,KY,371,10,2.7
28,Tony,1960,KY,247,5,2.02
29,James,1960,KY,1740,11,0.63
30,Aaron,1960,KY,14,,0.0
1,Tommie,1960,LA,10,10,100.0
2,Ivy,1960,LA,8,9,88.89
3,Darnell,1960,LA,8,7,87.5
4,Adrian,1960,LA,14,12,85.71
5,Shannon,1960,LA,18,22,81.82
6,Frankie,1960,LA,26,21,80.77
7,Johnnie,1960,LA,37,27,72.97
8,Pat,1960,LA,14,9,64.29
9,Kelly,1960,LA,55,89,61.8
10,Robbie,1960,LA,12,20,60.0
11,Jackie,1960,LA,39,70,55.71
12,Rene,1960,LA,39,21,53.85
13,Shawn,1960,LA,14,26,53.85
14,Lynn,1960,LA,35,66,53.03
15,Tracy,1960,LA,37,71,52.11
16,Ivory,1960,LA,16,7,43.75
17,Carroll,1960,LA,17,7,41.18
18,Shelby,1960,LA,17,7,41.18
19,Marion,1960,LA,13,32,40.63
20,Leslie,1960,LA,39,118,33.05
21,Jody,1960,LA,55,18,32.73
22,Terry,1960,LA,375,120,32.0
23,Stacy,1960,LA,13,41,31.71
24,Lee,1960,LA,101,32,31.68
25,Jessie,1960,LA,62,19,30.65
26,Francis,1960,LA,38,11,28.95
27,Jamie,1960,LA,11,38,28.95
28,Stacey,1960,LA,5,19,26.32
29,Carey,1960,LA,20,5,25.0
30,Bennie,1960,LA,21,5,23.81
1,Lee,1960,MA,63,69,91.3
2,Kerry,1960,MA,30,49,61.22
3,Pat,1960,MA,10,5,50.0
4,Dale,1960,MA,100,47,47.0
5,Jody,1960,MA,17,41,41.46
6,Carmen,1960,MA,9,22,40.91
7,Jamie,1960,MA,12,31,38.71
8,Jan,1960,MA,17,44,38.64
9,Terry,1960,MA,28,82,34.15
10,Chris,1960,MA,80,26,32.5
11,Rene,1960,MA,25,8,32.0
12,Daryl,1960,MA,16,5,31.25
13,Kyle,1960,MA,21,5,23.81
14,Jackie,1960,MA,7,31,22.58
15,Tracy,1960,MA,24,123,19.51
16,Dana,1960,MA,161,29,18.01
17,Leslie,1960,MA,22,164,13.41
18,Kelly,1960,MA,13,143,9.09
19,Randy,1960,MA,89,7,7.87
20,Kim,1960,MA,17,340,5.0
21,Robin,1960,MA,16,500,3.2
22,Jean,1960,MA,8,357,2.24
23,Debra,1960,MA,6,776,0.77
24,Patricia,1960,MA,9,1240,0.73
25,Edward,1960,MA,770,5,0.65
26,Stephen,1960,MA,1235,6,0.49
27,Steven,1960,MA,1237,5,0.4
28,Michael,1960,MA,3262,10,0.31
29,John,1960,MA,3475,10,0.29
30,Robert,1960,MA,2851,8,0.28
1,Jessie,1960,MD,9,10,90.0
2,Kris,1960,MD,5,6,83.33
3,Jody,1960,MD,13,16,81.25
4,Terry,1960,MD,172,139,80.81
5,Dana,1960,MD,26,34,76.47
6,Pat,1960,MD,5,8,62.5
7,Kerry,1960,MD,13,7,53.85
8,Tracy,1960,MD,30,70,42.86
9,Shawn,1960,MD,37,15,40.54
10,Jamie,1960,MD,9,26,34.62
11,Lee,1960,MD,44,15,34.09
12,Chris,1960,MD,57,19,33.33
13,Jackie,1960,MD,9,30,30.0
14,Leslie,1960,MD,19,114,16.67
15,Daryl,1960,MD,31,5,16.13
16,Kelly,1960,MD,17,108,15.74
17,Kim,1960,MD,18,215,8.37
18,Lynn,1960,MD,6,91,6.59
19,Robin,1960,MD,21,370,5.68
20,Dale,1960,MD,134,6,4.48
21,Kevin,1960,MD,535,6,1.12
22,Mary,1960,MD,5,920,0.54
23,James,1960,MD,1266,6,0.47
24,Michael,1960,MD,1594,7,0.44
25,John,1960,MD,1377,5,0.36
26,Aaron,1960,MD,42,,0.0
27,Abraham,1960,MD,5,,0.0
28,Ada,1960,MD,,8,0.0
29,Adam,1960,MD,16,,0.0
30,Adele,1960,MD,,5,0.0
1,Jody,1960,ME,13,12,92.31
2,Terry,1960,ME,43,38,88.37
3,Lee,1960,ME,21,10,47.62
4,Kerry,1960,ME,13,6,46.15
5,Leslie,1960,ME,10,22,45.45
6,Tracy,1960,ME,8,30,26.67
7,Robin,1960,ME,8,63,12.7
8,Kelly,1960,ME,6,61,9.84
9,Kim,1960,ME,5,61,8.2
10,Dale,1960,ME,84,6,7.14
11,Aaron,1960,ME,6,,0.0
12,Adam,1960,ME,6,,0.0
13,Alan,1960,ME,72,,0.0
14,Albert,1960,ME,20,,0.0
15,Alexander,1960,ME,5,,0.0
16,Alfred,1960,ME,15,,0.0
17,Alice,1960,ME,,14,0.0
18,Alicia,1960,ME,,5,0.0
19,Alison,1960,ME,,15,0.0
20,Allan,1960,ME,16,,0.0
21,Allen,1960,ME,29,,0.0
22,Allison,1960,ME,,5,0.0
23,Amy,1960,ME,,17,0.0
24,Andre,1960,ME,5,,0.0
25,Andrea,1960,ME,,42,0.0
26,Andrew,1960,ME,66,,0.0
27,Andy,1960,ME,5,,0.0
28,Angela,1960,ME,,27,0.0
29,Anita,1960,ME,,22,0.0
30,Ann,1960,ME,,95,0.0
1,Frankie,1960,MI,7,7,100.0
2,Pat,1960,MI,61,62,98.39
3,Laverne,1960,MI,9,10,90.0
4,Robbie,1960,MI,9,8,88.89
5,Jessie,1960,MI,16,14,87.5
6,Kris,1960,MI,35,49,71.43
7,Shawn,1960,MI,96,60,62.5
8,Kerry,1960,MI,85,51,60.0
9,Dana,1960,MI,64,112,57.14
10,Tracy,1960,MI,121,236,51.27
11,Jody,1960,MI,43,93,46.24
12,Val,1960,MI,5,11,45.45
13,Lee,1960,MI,153,66,43.14
14,Kyle,1960,MI,43,18,41.86
15,Carey,1960,MI,15,6,40.0
16,Jamie,1960,MI,32,93,34.41
17,Leslie,1960,MI,60,179,33.52
18,Kendall,1960,MI,21,7,33.33
19,Billie,1960,MI,7,22,31.82
20,Terry,1960,MI,622,195,31.35
21,Chris,1960,MI,377,113,29.97
22,Johnnie,1960,MI,17,5,29.41
23,Mickey,1960,MI,25,7,28.0
24,Robbin,1960,MI,6,23,26.09
25,Kelly,1960,MI,128,546,23.44
26,Bobbie,1960,MI,6,28,21.43
27,Gale,1960,MI,7,33,21.21
